id,produto,quantidade,preÃ§o,data
1,jaqueta leve,4,260,1/6/2024
2,camiseta de manga longa,5,50,2/6/2024
3,bota de chuva,3,110,3/6/2024
4,luvas de inverno,8,30,4/6/2024
5,colar,10,20,5/6/2024
6,diário,15,15,6/6/2024
7,calça cargo,7,60,7/6/2024
8,sapato social,4,150,8/6/2024
9,boné esportivo,11,12,9/6/2024
10,casaco impermeável,3,220,10/6/2024
11,mochila de viagem,6,85,11/6/2024
12,enciclopédia,8,25,12/6/2024
13,agenda digital,17,40,13/6/2024
14,caneta esferográfica,30,2,14/6/2024
15,caderno de anotações,20,5,15/6/2024
16,aditivo para cola,14,3,16/6/2024
17,linha de costura,10,7,17/6/2024
18,papel de presente,9,18,18/6/2024
19,impressora portátil,2,160,19/6/2024
20,filtro de café,5,22,20/6/2024
21,organizador de mesa,6,48,21/6/2024
22,cabo de carregamento,7,25,22/6/2024
23,almofada de viagem,5,35,23/6/2024
24,ventilador de mesa,1,70,24/6/2024
25,secador de cabelo profissional,12,200,25/6/2024
26,pente de cabelo,4,5,26/6/2024
27,relógio digital,2,90,27/6/2024
28,bolsa térmica,3,65,28/6/2024
29,batata frita elétrica,1,150,29/6/2024
30,máquina de fazer pão,2,280,30/6/2024
31,misturador de mão,3,75,1/7/2024
32,grade de queijos,6,100,2/7/2024
33,torradeira elétrica,4,85,3/7/2024
34,panela de pressão,3,150,4/7/2024
35,pequena estufa,2,450,5/7/2024
36,monitor fitness,5,250,6/7/2024
52,controlador de jogos,8,150,7/7/2024
53,câmera de segurança,20,320,8/7/2024
54,baterias para controle,1,3,9/7/2024
55,forno elétrico,5,700,10/7/2024
56,bandeja de café da manhã,3,55,11/7/2024
57,cobertor de lã,4,90,12/7/2024
58,painel decorativo,10,150,13/7/2024
59,kit de pintura,6,30,14/7/2024
60,monitor de temperatura,4,180,15/7/2024
61,álbum de figurinhas,5,50,16/7/2024
62,secador de unhas portátil,3,75,17/7/2024
63,kit de cultivo de ervas,1,70,18/7/2024
64,câmera de ação,1,950,19/7/2024
65,computador portátil,1,3000,20/7/2024
