id,produto,quantidade,preÃ§o,data
1,calça de moletom,2,250,1/8/2024
2,camiseta estampada,5,40,2/8/2024
3,bota de combate,4,160,3/8/2024
4,luvas de ciclismo,6,20,4/8/2024
5,broche,15,10,5/8/2024
6,caderno universitário,10,12,6/8/2024
7,jaqueta de couro,1,120,7/8/2024
8,scarpin,3,180,8/8/2024
9,beanie,12,15,9/8/2024
10,impermeável,1,300,10/8/2024
11,bag de praia,5,50,11/8/2024
12,guia de viagem,7,25,12/8/2024
13,organizador de arquivos,20,18,13/8/2024
14,pincel para arte,25,3,14/8/2024
15,caderno de receitas,14,10,15/8/2024
16,colagem artística,10,5,16/8/2024
17,fita adesiva colorida,18,2,17/8/2024
18,papel para scrapbook,6,20,18/8/2024
19,escaneador de documentos,3,150,19/8/2024
20,máquina de café expresso,1,700,20/8/2024
21,mini organizador,4,35,21/8/2024
22,fonte de alimentação,5,60,22/8/2024
23,manta de piquenique,6,40,23/8/2024
24,ventilador de pé,2,110,24/8/2024
25,secador de cabelo de viagem,1,70,25/8/2024
26,escova de dentes elétrica,5,120,26/8/2024
27,relógio de pulso,3,300,27/8/2024
28,bolsa de maternidade,2,95,28/8/2024
29,fritadeira sem óleo,1,400,29/8/2024
30,máquina de waffles,2,85,30/8/2024
31,processador de alimentos,3,250,31/8/2024
32,espremedor de frutas,4,70,1/9/2024
33,frigideira antiaderente,6,50,2/9/2024
34,pequeno grill,2,140,3/9/2024
35,humidificador,5,120,4/9/2024
36,aparelho de pressão arterial,4,150,5/9/2024
52,controlador de temperatura,15,90,6/9/2024
53,câmera de segurança Wi-Fi,1,200,7/9/2024
54,baterias recarregáveis AA,5,1,8/9/2024
55,forno de convecção,3,600,9/9/2024
56,bandeja de sushi,10,30,10/9/2024
57,cobertor elétrico,2,85,11/9/2024
58,quadrinhos de arte,4,45,12/9/2024
59,kit de costura portátil,1,20,13/9/2024
60,monitor de oxigênio,5,300,14/9/2024
61,álbum de fotos personalizado,3,40,15/9/2024
62,secador de cabelo profissional,4,180,16/9/2024
63,kit de jardinagem urbano,5,75,17/9/2024
64,câmera instantânea de filme,1,600,18/9/2024
65,laptop para gaming,1,3500,19/9/2024
